realtime_start,realtime_end,date,value
2019-12-23,2019-12-23,1919-01-01,5.0124
2019-12-23,2019-12-23,1919-02-01,4.7908
2019-12-23,2019-12-23,1919-03-01,4.6524
2019-12-23,2019-12-23,1919-04-01,4.7355
2019-12-23,2019-12-23,1919-05-01,4.7632
2019-12-23,2019-12-23,1919-06-01,5.0678
2019-12-23,2019-12-23,1919-07-01,5.3724
2019-12-23,2019-12-23,1919-08-01,5.4555
2019-12-23,2019-12-23,1919-09-01,5.3447
2019-12-23,2019-12-23,1919-10-01,5.2893
2019-12-23,2019-12-23,1919-11-01,5.2062
2019-12-23,2019-12-23,1919-12-01,5.2893
2019-12-23,2019-12-23,1920-01-01,5.7878
2019-12-23,2019-12-23,1920-02-01,5.7878
2019-12-23,2019-12-23,1920-03-01,5.6770
2019-12-23,2019-12-23,1920-04-01,5.3724
2019-12-23,2019-12-23,1920-05-01,5.5109
2019-12-23,2019-12-23,1920-06-01,5.5663
2019-12-23,2019-12-23,1920-07-01,5.4278
2019-12-23,2019-12-23,1920-08-01,5.4555
2019-12-23,2019-12-23,1920-09-01,5.2616
2019-12-23,2019-12-23,1920-10-01,5.0401
2019-12-23,2019-12-23,1920-11-01,4.6247
2019-12-23,2019-12-23,1920-12-01,4.3478
2019-12-23,2019-12-23,1921-01-01,4.0985
2019-12-23,2019-12-23,1921-02-01,4.0155
2019-12-23,2019-12-23,1921-03-01,3.9047
2019-12-23,2019-12-23,1921-04-01,3.9047
2019-12-23,2019-12-23,1921-05-01,4.0155
2019-12-23,2019-12-23,1921-06-01,3.9878
2019-12-23,2019-12-23,1921-07-01,3.9601
2019-12-23,2019-12-23,1921-08-01,4.0985
2019-12-23,2019-12-23,1921-09-01,4.1262
2019-12-23,2019-12-23,1921-10-01,4.3755
2019-12-23,2019-12-23,1921-11-01,4.3201
2019-12-23,2019-12-23,1921-12-01,4.2924
2019-12-23,2019-12-23,1922-01-01,4.4585
2019-12-23,2019-12-23,1922-02-01,4.6524
2019-12-23,2019-12-23,1922-03-01,4.9016
2019-12-23,2019-12-23,1922-04-01,4.7355
2019-12-23,2019-12-23,1922-05-01,4.9847
2019-12-23,2019-12-23,1922-06-01,5.2339
2019-12-23,2019-12-23,1922-07-01,5.2339
2019-12-23,2019-12-23,1922-08-01,5.1232
2019-12-23,2019-12-23,1922-09-01,5.4001
2019-12-23,2019-12-23,1922-10-01,5.7047
2019-12-23,2019-12-23,1922-11-01,5.9539
2019-12-23,2019-12-23,1922-12-01,6.1201
2019-12-23,2019-12-23,1923-01-01,5.9816
2019-12-23,2019-12-23,1923-02-01,6.0647
2019-12-23,2019-12-23,1923-03-01,6.2586
2019-12-23,2019-12-23,1923-04-01,6.3970
2019-12-23,2019-12-23,1923-05-01,6.4801
2019-12-23,2019-12-23,1923-06-01,6.4247
2019-12-23,2019-12-23,1923-07-01,6.3693
2019-12-23,2019-12-23,1923-08-01,6.2586
2019-12-23,2019-12-23,1923-09-01,6.1201
2019-12-23,2019-12-23,1923-10-01,6.0924
2019-12-23,2019-12-23,1923-11-01,6.0924
2019-12-23,2019-12-23,1923-12-01,5.9539
2019-12-23,2019-12-23,1924-01-01,6.0924
2019-12-23,2019-12-23,1924-02-01,6.2032
2019-12-23,2019-12-23,1924-03-01,6.0924
2019-12-23,2019-12-23,1924-04-01,5.8986
2019-12-23,2019-12-23,1924-05-01,5.6493
2019-12-23,2019-12-23,1924-06-01,5.4001
2019-12-23,2019-12-23,1924-07-01,5.3170
2019-12-23,2019-12-23,1924-08-01,5.5109
2019-12-23,2019-12-23,1924-09-01,5.7047
